,0,1
0,AKs,0.6621960778868928
1,AQs,0.6531369864028327
2,AJs,0.6439762072295558
3,ATs,0.6348891525609153
4,A9s,0.6150967389466812
5,A8s,0.6050780918281905
6,A7s,0.5938667239157521
7,A6s,0.5817889795437151
8,A5s,0.5806411936696695
9,A4s,0.5713779939984789
10,A3s,0.5633505365130853
11,A2s,0.5550626044188227
12,AA,0.8493191565740473
13,AKo,0.6446937788817652
14,AQo,0.635087872825715
15,AJo,0.6253517515341542
16,ATo,0.6156808433195158
17,A9o,0.5944974126860652
18,A8o,0.5837415546319467
19,A7o,0.571695154007068
20,A6o,0.5587030550651252
21,A5o,0.5574229404269433
22,A4o,0.5473287031274973
23,A3o,0.5385531204802041
24,A2o,0.5294730546469896
25,KQs,0.624084199101341
26,KJs,0.6147655662529322
27,KTs,0.6058706494557614
28,K9s,0.5863813959457437
29,K8s,0.5679041001808887
30,K7s,0.5584632085476603
31,K6s,0.5480467134653305
32,K5s,0.5383385213114777
33,K4s,0.5288884343054829
34,K3s,0.520701270815061
35,K2s,0.5123995219140637
36,KK,0.821173353312271
37,KQo,0.6043225287455989
38,KJo,0.5944123321193822
39,KTo,0.5849428413861564
40,K9o,0.5640764358426843
41,K8o,0.5443163356576495
42,K7o,0.5341732803675137
43,K6o,0.5229712048800168
44,K5o,0.5125391744286278
45,K4o,0.5022515443453983
46,K3o,0.4933126412430892
47,K2o,0.4842278232395041
48,QJs,0.590708760248155
49,QTs,0.5817063965663618
50,Q9s,0.5622279610317581
51,Q8s,0.5441701854917468
52,Q7s,0.5252348661301087
53,Q6s,0.5167924418193953
54,Q5s,0.5071345023476348
55,Q4s,0.49763037235761176
56,Q3s,0.48938409191613297
57,Q2s,0.48101815812441767
58,QQ,0.7963199000699179
59,QJo,0.5690623166746631
60,QTo,0.5594738960152074
61,Q9o,0.5386200401156532
62,Q8o,0.5193052197304764
63,Q7o,0.49904364717896194
64,Q6o,0.48996500899559076
65,Q5o,0.4795899998476463
66,Q4o,0.4692476539264376
67,Q3o,0.46024897009894555
68,Q2o,0.451099302196229
69,JTs,0.5615478077409218
70,J9s,0.5411198447553479
71,J8s,0.5231165307152028
72,J7s,0.504544579265069
73,J6s,0.4857424486534936
74,J5s,0.47820944799452414
75,J4s,0.4686866793948777
76,J3s,0.4604175011539946
77,J2s,0.452024408086222
78,JJ,0.7715297938047015
79,JTo,0.5382600507801588
80,J9o,0.5163938076900584
81,J8o,0.4971365747627403
82,J7o,0.4772613052434611
83,J6o,0.4571353897433348
84,J5o,0.44904647913932494
85,J4o,0.4386873487812676
86,J3o,0.4296676232555539
87,J2o,0.4204926565897708
88,T9s,0.5237687341169435
89,T8s,0.5050914776690152
90,T7s,0.4865123359706937
91,T6s,0.46800197570907826
92,T5s,0.4493902537713245
93,T4s,0.44204069307264016
94,T3s,0.43378483369034165
95,T2s,0.4254016089378571
96,TT,0.7466026487247068
97,T9o,0.49815695572872554
98,T8o,0.4781810507539432
99,T7o,0.4582976371829151
100,T6o,0.4384812460045273
101,T5o,0.4185747552644081
102,T4o,0.4105538863000669
103,T3o,0.40155186013945815
104,T2o,0.3923911478062521
105,98s,0.4885627404037787
106,97s,0.4699028980853606
107,96s,0.4515116692015103
108,95s,0.4331270733597327
109,94s,0.4140712279507092
110,93s,0.4080678936230893
111,92s,0.399729544854894
112,99,0.7166565198405664
113,98o,0.4606833215240313
114,97o,0.4407205977484736
115,96o,0.4210339307621578
116,95o,0.4013672037791385
117,94o,0.3808579555978732
118,93o,0.37427913777720256
119,92o,0.36517012980329444
120,87s,0.4568410789419194
121,86s,0.4381851117769066
122,85s,0.4199045988187498
123,84s,0.40102778485843116
124,83s,0.38282562477248055
125,82s,0.37679222133086654
126,88,0.6871738234907389
127,87o,0.42693294125628106
128,86o,0.406965844342295
129,85o,0.38741270839863895
130,84o,0.3670917195036095
131,83o,0.34749849213781403
132,82o,0.3408682964301231
133,76s,0.4282947656877187
134,75s,0.40979005098342897
135,74s,0.39108908495124506
136,73s,0.3730355641185021
137,72s,0.35439837944750885
138,77,0.657253536321983
139,76o,0.3965381182920264
140,75o,0.37674684176411555
141,74o,0.35661728819185984
142,73o,0.3371791065826404
143,72o,0.3171027992004339
144,65s,0.4034818751532204
145,64s,0.38480977360691343
146,63s,0.36685429877772624
147,62s,0.34837547659873963
148,66,0.6270002370707842
149,65o,0.37012755175976425
150,64o,0.3500298867332844
151,63o,0.33069789309928915
152,62o,0.3107865572511694
153,54s,0.38532531595959957
154,53s,0.36758676631110054
155,52s,0.34929535245408816
156,55,0.596400353805143
157,54o,0.35074820263843454
158,53o,0.3316498133042181
159,52o,0.3119380724084164
160,43s,0.3572735806630582
161,42s,0.33917944370483866
162,44,0.5625651402421752
163,43o,0.3206630496437452
164,42o,0.30117406688174425
165,32s,0.33091971649199114
166,33,0.5283923654182224
167,32o,0.292394496361744
168,22,0.4938517592193521
